,Kenteken,Voertuigsoort,Merk,Datum eerste toelating DT,Datum
93410,83BRN7,Bedrijfsauto,WIERDA VOERTUIG TECHNIEK,04/01/2021 12:00:00 AM,2021-04-01
93411,83BRN9,Bedrijfsauto,SCANIA,05/25/2021 12:00:00 AM,2021-05-25
93419,83BRP4,Bedrijfsauto,VOLVO,05/25/2021 12:00:00 AM,2021-05-25
93420,83BRP6,Bedrijfsauto,VOLVO,06/07/2021 12:00:00 AM,2021-06-07
93421,83BRP7,Bedrijfsauto,MERCEDES-BENZ,02/02/2021 12:00:00 AM,2021-02-02
93433,83BRR8,Bedrijfsauto,VOLVO,06/30/2021 12:00:00 AM,2021-06-30
93434,83BRR9,Bedrijfsauto,MERCEDES-BENZ,06/16/2021 12:00:00 AM,2021-06-16
93440,83BRS1,Bedrijfsauto,DAF,06/17/2021 12:00:00 AM,2021-06-17
93442,83BRS4,Bedrijfsauto,SCANIA,07/05/2021 12:00:00 AM,2021-07-05
93445,83BRS8,Bedrijfsauto,DAF,06/30/2021 12:00:00 AM,2021-06-30
93455,83BRT1,Bedrijfsauto,VOLVO,07/12/2021 12:00:00 AM,2021-07-12
93457,83BRT3,Bedrijfsauto,RENAULT,09/13/2021 12:00:00 AM,2021-09-13
93458,83BRT4,Bedrijfsauto,DAF,07/09/2021 12:00:00 AM,2021-07-09
93461,83BRT8,Bedrijfsauto,DAF,07/21/2021 12:00:00 AM,2021-07-21
93469,83BRV1,Bedrijfsauto,HALLER BENELUX,07/21/2021 12:00:00 AM,2021-07-21
93470,83BRV2,Bedrijfsauto,DAF,09/03/2021 12:00:00 AM,2021-09-03
93471,83BRV3,Bedrijfsauto,MERCEDES-BENZ,07/26/2021 12:00:00 AM,2021-07-26
93473,83BRV5,Bus,EBUSCO,09/09/2021 12:00:00 AM,2021-09-09
93474,83BRV6,Bedrijfsauto,MERCEDES-BENZ,08/18/2021 12:00:00 AM,2021-08-18
93480,83BRX1,Bedrijfsauto,MAN,09/28/2021 12:00:00 AM,2021-09-28
93481,83BRX2,Bedrijfsauto,SCANIA,09/28/2021 12:00:00 AM,2021-09-28
93482,83BRX3,Bedrijfsauto,MERCEDES-BENZ,09/10/2021 12:00:00 AM,2021-09-10
93483,83BRX4,Bedrijfsauto,DAF,09/23/2021 12:00:00 AM,2021-09-23
93484,83BRX5,Bedrijfsauto,VOLVO,09/09/2021 12:00:00 AM,2021-09-09
93485,83BRX6,Bedrijfsauto,MERCEDES-BENZ,10/11/2021 12:00:00 AM,2021-10-11
93486,83BRX7,Bedrijfsauto,BYD,09/08/2021 12:00:00 AM,2021-09-08
93487,83BRX8,Bedrijfsauto,VOLVO,10/11/2021 12:00:00 AM,2021-10-11
93495,83BRZ2,Bedrijfsauto,VOLVO,11/09/2021 12:00:00 AM,2021-11-09
93496,83BRZ3,Bedrijfsauto,DAF,12/07/2021 12:00:00 AM,2021-12-07
93497,83BRZ5,Bedrijfsauto,DAF,11/09/2021 12:00:00 AM,2021-11-09
93498,83BRZ6,Bedrijfsauto,DAF,09/28/2021 12:00:00 AM,2021-09-28
93501,83BRZ9,Bedrijfsauto,DAF,12/01/2021 12:00:00 AM,2021-12-01
93507,83BSB1,Bedrijfsauto,VOLVO,09/30/2021 12:00:00 AM,2021-09-30
93509,83BSB3,Bedrijfsauto,RENAULT,11/10/2021 12:00:00 AM,2021-11-10
93510,83BSB5,Bedrijfsauto,MERCEDES-BENZ,12/01/2021 12:00:00 AM,2021-12-01
93513,83BSB8,Bedrijfsauto,MAN,11/09/2021 12:00:00 AM,2021-11-09
93526,83BSF2,Bedrijfsauto,MAN,10/21/2021 12:00:00 AM,2021-10-21
93527,83BSF3,Bedrijfsauto,DAF,11/05/2021 12:00:00 AM,2021-11-05
93528,83BSF4,Bedrijfsauto,IVECO,11/18/2021 12:00:00 AM,2021-11-18
93529,83BSF5,Bedrijfsauto,E-TRUCKS EUROPE,10/27/2021 12:00:00 AM,2021-10-27
93530,83BSF7,Bedrijfsauto,VOLVO,11/09/2021 12:00:00 AM,2021-11-09
