,Kenteken,Brandstof omschrijving,Brandstofverbruik buiten de stad,Brandstofverbruik gecombineerd,CO2 uitstoot gecombineerd,CO2 uitstoot gewogen,Elektrisch verbruik enkel elektrisch wltp,Actie radius enkel elektrisch wltp,Actie radius enkel elektrisch stad wltp,Elektrisch verbruik extern opladen wltp,Actie radius extern opladen wltp,Actie radius extern opladen stad wltp,Max vermogen 15 minuten,Max vermogen 60 minuten,Netto max vermogen elektrisch
104784,82BRT1,Diesel,,,,,,,,,,,,,
104785,82BRT2,Diesel,,,,,,,,,,,,,
104786,82BRT3,Diesel,,,,,,,,,,,,,
104787,82BRT4,Diesel,,,,,,,,,,,,,
104789,82BRT7,Diesel,,,,,,,,,,,,,
104790,82BRT8,Diesel,,,,,,,,,,,,,
104797,82BRV2,Diesel,,,,,,,,,,,,,
104800,82BRV5,Elektriciteit,,,,,,,,,,,,87.0,125.0
104801,82BRV6,Diesel,,,,,,,,,,,,,
104803,82BRV8,Diesel,,,,,,,,,,,,,
104807,82BRX1,Diesel,,,,,,,,,,,,,
104808,82BRX3,Diesel,,,,,,,,,,,,,
104809,82BRX5,Diesel,,,,,,,,,,,,,
104810,82BRX6,Diesel,,,,,,,,,,,,,
104811,82BRX7,Diesel,,,,,,,,,,,,,
104812,82BRX8,Diesel,,,,,,,,,,,,,
104818,82BRZ2,Diesel,,,,,,,,,,,,,
104822,82BRZ8,Diesel,,,,,,,,,,,,,
104823,82BRZ9,Diesel,,,,,,,,,,,,,
104829,82BSB1,Elektriciteit,,,,,,,,,,,,,200.0
104830,82BSB2,Diesel,,,,,,,,,,,,,
104831,82BSB3,Diesel,,,,,,,,,,,,,
104834,82BSB7,Diesel,,,,,,,,,,,,,
104835,82BSB9,Diesel,,,,,,,,,,,,,
104844,82BSF1,Elektriciteit,,,,,,,,,,,,,400.0
104845,82BSF2,Diesel,,,,,,,,,,,,,
104846,82BSF3,Diesel,,,,,,,,,,,,,
104848,82BSF5,Diesel,,,,,,,,,,,,,
104849,82BSF7,Diesel,,,,,,,,,,,,,
104850,82BSF8,Diesel,,,,,,,,,,,,,
104858,82BSG3,Diesel,,,,,,,,,,,,,
104861,82BSG6,Diesel,,,,,,,,,,,,,
104862,82BSG7,Diesel,,,,,,,,,,,,,
104863,82BSG8,Diesel,,,,,,,,,,,,,
104868,82BSH1,Diesel,,,,,,,,,,,,,
104869,82BSH2,Diesel,,,,,,,,,,,,,
104871,82BSH4,Diesel,,,,,,,,,,,,,
104876,82BSH9,Diesel,,,,,,,,,,,,,
104883,82BSJ3,Diesel,,,,,,,,,,,,,
104884,82BSJ4,Diesel,,,,,,,,,,,,,
104887,82BSJ7,Diesel,,,,,,,,,,,,,
123540,82MLZN,Benzine,,,,,,,,,,,,,
123662,82MNLJ,Benzine,,,,,,,,,,,,,
